Neuron_ID,Diff_Mag,Ratio_Mag,Diff_Freq,FT_Mag_P,FT_Mag_C,Base_Mag_P,Base_Mag_C,FT_Freq_P,FT_Freq_C,Base_Freq_P,Base_Freq_C
2044,0.004469405859708786,0.7743112819607805,0.013424023985862732,-0.015330571681261063,-0.01979997754096985,-0.011118422262370586,-0.015764160081744194,0.26180174946784973,0.248377725481987,0.2690308094024658,0.2552652359008789
2045,-0.0022595407208427787,0.363398025604437,-0.010141551494598389,0.00129040761385113,0.0035499483346939087,0.011063532903790474,0.01397509966045618,0.34743091464042664,0.357572466135025,0.375436395406723,0.3909760117530823
2046,-0.0019890256226062775,1.0450268419624635,-0.0037473440170288086,-0.046186454594135284,-0.04419742897152901,-0.02734750136733055,-0.02428479492664337,0.2579500377178192,0.261697381734848,0.2898736298084259,0.29658088088035583
2047,0.0025214534252882004,0.8761323128458789,0.002039685845375061,-0.01782749593257904,-0.02034894935786724,-0.01990397274494171,-0.022227246314287186,0.21320012211799622,0.21116043627262115,0.2115304321050644,0.20943380892276764
2048,0.0021644942462444305,0.9464639698067168,0.00400349497795105,-0.03824843466281891,-0.04041292890906334,0.03952207416296005,0.042431194335222244,0.2716776728630066,0.26767417788505554,0.496527761220932,0.5039465427398682
2049,0.003702804446220398,0.8928974529073349,0.008984118700027466,-0.030861373990774155,-0.03456417843699455,-0.031156817451119423,-0.03446922451257706,0.3093787729740143,0.3003946542739868,0.30632397532463074,0.29797548055648804
2050,0.000380663201212883,0.9877284890925286,0.006545990705490112,-0.03055892325937748,-0.030939586460590363,-0.024078132584691048,-0.02457449957728386,0.2134942263364792,0.20694823563098907,0.23205068707466125,0.22459395229816437
2051,-0.0026779472827911377,1.057323399986849,-0.004269152879714966,-0.04941286891698837,-0.046734921634197235,-0.05547149479389191,-0.0529581718146801,0.2556731700897217,0.25994232296943665,0.23837848007678986,0.24317887425422668
2052,-0.0012739673256874084,0.9872690264882069,-0.00400349497795105,0.09887191653251648,0.10014588385820389,0.48000282049179077,0.5056143999099731,0.37592971324920654,0.3799332082271576,0.44891276955604553,0.4563695192337036
2053,0.004499576985836029,0.9363108581307101,0.009373113512992859,-0.06613476574420929,-0.07063434273004532,-0.0678921788930893,-0.07137253135442734,0.14853711426258087,0.139164000749588,0.15208522975444794,0.14379362761974335
2054,0.0039719268679618835,1.115786706442418,0.0056542158126831055,0.03826611489057541,0.034294188022613525,0.04662163555622101,0.04269940406084061,0.34815192222595215,0.34249770641326904,0.35912832617759705,0.3541666567325592
